query,labelnum,label
这个植物属于什么部类？,0,name_part
这是什么部的？,0,name_part
请问这个属于哪个部？,0,name_part
这个属于什么部的植物？,0,name_part
什么部类的？,0,name_part
请问这是什么部类的？,0,name_part
这个动物属于哪个部？,0,name_part
这属于什么部类呢？,0,name_part
属于哪个部类？,0,name_part
这是什么部类的？,0,name_part
这种植物属于什么部？,0,name_part
这个部类是什么？,0,name_part
请问它属于哪个部类？,0,name_part
这个动物是哪个部的？,0,name_part
这植物属于什么部？,0,name_part
这种动物属于哪个部类？,0,name_part
它属于什么部？,0,name_part
这种生物是哪个部的？,0,name_part
这个物种属于什么部？,0,name_part
这种生物属于哪个部类？,0,name_part
这个东西闻起来怎么样？,1,name_smell
它有什么气味？,1,name_smell
这种植物有什么味道？,1,name_smell
闻起来是什么味的？,1,name_smell
吃了会是什么味道？,1,name_smell
请问它有毒吗？,1,name_smell
这种东西吃起来苦吗？,1,name_smell
这种植物有毒性吗？,1,name_smell
这个东西吃起来是什么味道？,1,name_smell
这个东西闻起来怎么样？,1,name_smell
它的气味怎么样？,1,name_smell
这种植物有什么气味？,1,name_smell
闻起来怎么样？,1,name_smell
请问它吃起来是什么味？,1,name_smell
这种植物有毒吗？,1,name_smell
它吃起来苦吗？,1,name_smell
它的味道如何？,1,name_smell
这种东西有什么品质？,1,name_smell
这个东西的味道如何？,1,name_smell
请问这种植物有毒性吗？,1,name_smell
这个东西有其他别名吗？,2,name_alias
请问它还有别称吗？,2,name_alias
这种植物别名是什么？,2,name_alias
它还有其他称呼吗？,2,name_alias
这种动物的别名是什么？,2,name_alias
请问它有别名吗？,2,name_alias
这种植物还有其他名字吗？,2,name_alias
这个东西有别称吗？,2,name_alias
它的别名是什么？,2,name_alias
这种植物还有其他别称吗？,2,name_alias
这种东西还有其他名字吗？,2,name_alias
它还有其他名字吗？,2,name_alias
请问它的别名是什么？,2,name_alias
这种动物有别称吗？,2,name_alias
这个东西别名是什么？,2,name_alias
请问它的别称是什么？,2,name_alias
这种植物还有其他称呼吗？,2,name_alias
这种动物还有别名吗？,2,name_alias
请问它还有其他别名吗？,2,name_alias
这种东西的别称是什么？,2,name_alias
这个东西可以治什么？,3,name_cure
请问它有什么功效？,3,name_cure
这种植物的用法是什么？,3,name_cure
它的作用是什么？,3,name_cure
这种东西如何使用？,3,name_cure
它有什么疗法？,3,name_cure
这种植物怎么治？,3,name_cure
它的医治方式是什么？,3,name_cure
这种东西咋用？,3,name_cure
它的作用有哪些？,3,name_cure
这种植物的功效有哪些？,3,name_cure
这种东西有何作用？,3,name_cure
它能治什么病？,3,name_cure
这种植物有什么好处？,3,name_cure
这种东西的使用方法是什么？,3,name_cure
它能治疗什么症状？,3,name_cure
这种植物的益处有哪些？,3,name_cure
这种东西有何益处？,3,name_cure
它的食疗方法是什么？,3,name_cure
这种植物有什么用？,3,name_cure
这个东西怎么回事？,4,symptom_cause
这种病的病因是什么？,4,symptom_cause
为什么会得这种病？,4,symptom_cause
请问它是怎么回事？,4,symptom_cause
这种病为什么会发生？,4,symptom_cause
这种现象的病因是什么？,4,symptom_cause
为什么会出现这种情况？,4,symptom_cause
这种疾病的原因是什么？,4,symptom_cause
这种病的原因是什么？,4,symptom_cause
请问这种情况是怎么回事？,4,symptom_cause
这种症状的病因是什么？,4,symptom_cause
为什么会有这种病？,4,symptom_cause
这种现象为什么会发生？,4,symptom_cause
请问它的病因是什么？,4,symptom_cause
这种疾病为什么会出现？,4,symptom_cause
这种情况的原因是什么？,4,symptom_cause
为什么会有这种症状？,4,symptom_cause
这种病的成因是什么？,4,symptom_cause
请问这种现象是怎么回事？,4,symptom_cause
这种情况为什么会出现？,4,symptom_cause
